scenario	rho2.12	rho02.11	rho02.22	rho02.12	rho01.11	rho01.22	rho01.12	delta1	delta2	N	t	m
1	0.2	0.02	0.02	0.01	0.01	0.01	0.005	0.86	0.86	20	3	13
2	0.2	0.02	0.1	0.01	0.01	0.05	0.005	0.8	0.76	12	5	25
3	0.2	0.02	0.2	0.01	0.01	0.1	0.005	0.78	1.12	12	4	25
4	0.2	0.1	0.02	0.01	0.05	0.01	0.005	0.76	0.66	12	5	25
5	0.2	0.1	0.1	0.05	0.05	0.05	0.025	0.98	1.96	12	4	15
6	0.2	0.1	0.2	0.05	0.05	0.1	0.025	1.18	1.98	12	3	20
7	0.2	0.2	0.02	0.01	0.1	0.01	0.005	0.94	0.44	20	5	18
8	0.2	0.2	0.1	0.05	0.1	0.05	0.025	1.84	1.84	10	3	12
9	0.2	0.2	0.2	0.1	0.1	0.1	0.05	1.08	1.62	12	4	25
10	0.5	0.02	0.02	0.01	0.01	0.01	0.005	0.6	0.56	30	4	10
11	0.5	0.02	0.1	0.01	0.01	0.05	0.005	0.68	1.76	16	3	22
12	0.5	0.02	0.2	0.01	0.01	0.1	0.005	0.84	1.66	8	5	20
13	0.5	0.1	0.02	0.01	0.05	0.01	0.005	0.76	1.1	21	4	10
14	0.5	0.1	0.1	0.05	0.05	0.05	0.025	1.04	1.36	8	5	25
15	0.5	0.1	0.2	0.05	0.05	0.1	0.025	1.24	1.24	22	3	8
16	0.5	0.2	0.02	0.01	0.1	0.01	0.005	1.68	0.58	26	3	18
17	0.5	0.2	0.1	0.05	0.1	0.05	0.025	1.2	1.2	12	4	16
18	0.5	0.2	0.2	0.1	0.1	0.1	0.05	0.64	1.68	24	5	24
19	0.8	0.02	0.02	0.01	0.01	0.01	0.005	0.62	1.1	12	5	16
20	0.8	0.02	0.1	0.01	0.01	0.05	0.005	0.58	1.14	30	3	14
21	0.8	0.02	0.2	0.01	0.01	0.1	0.005	0.4	1.68	30	4	17
22	0.8	0.1	0.02	0.01	0.05	0.01	0.005	0.62	1.24	20	5	13
23	0.8	0.1	0.1	0.05	0.05	0.05	0.025	1.64	1.84	8	3	22
24	0.8	0.1	0.2	0.05	0.05	0.1	0.025	0.9	0.9	18	4	18
25	0.8	0.2	0.02	0.01	0.1	0.01	0.005	1.98	0.5	28	3	25
26	0.8	0.2	0.1	0.05	0.1	0.05	0.025	1.26	0.62	24	4	17
27	0.8	0.2	0.2	0.1	0.1	0.1	0.05	1.64	1.64	8	5	10
